Country;Region;Rank;Score;GDP;Family;Health;Freedom;Trust;Generosity
Afghanistan;Southern Asia;1;2523;7695;463;52493;382;924;-102
Zimbabwe;Sub-Saharan Africa;2;3145;7943;750;56201;677;821;-47
Rwanda;Sub-Saharan Africa;3;3415;7676;552;61400;897;167;61
Botswana;Sub-Saharan Africa;4;3467;9782;784;59269;824;801;-246
Lesotho;Sub-Saharan Africa;5;3512;7926;787;48700;715;915;-131
Malawi;Sub-Saharan Africa;6;3600;6958;537;57948;780;729;38
Haiti;Latin America and Caribbean;7;3615;7477;540;55700;593;721;422
Tanzania;Sub-Saharan Africa;8;3623;7876;702;57999;833;577;183
Yemen;Middle East and Northern Africa;9;3658;7578;832;57122;602;800;-147
Burundi;Sub-Saharan Africa;10;3775;6635;490;53400;626;607;-24
India;Southern Asia;11;3819;8755;603;60633;893;774;89
Sierra Leone;Sub-Saharan Africa;12;3849;7434;630;51651;717;866;84
Zambia;Sub-Saharan Africa;13;4073;8145;708;55809;782;823;61
Togo;Sub-Saharan Africa;14;4107;7362;569;54914;619;772;32
Madagascar;Sub-Saharan Africa;15;4208;7396;686;59305;552;803;-5
Mauritania;Sub-Saharan Africa;16;4227;8542;795;57161;561;731;-106
Ethiopia;Sub-Saharan Africa;17;4275;7694;764;59000;752;761;82
Egypt;Middle East and Northern Africa;18;4283;9367;750;61998;749;795;-182
Comoros;Sub-Saharan Africa;19;4289;8031;626;57349;548;781;82
Swaziland;Sub-Saharan Africa;20;4308;9065;770;50833;647;708;-185
Sri Lanka;Southern Asia;21;4325;9470;827;67299;841;863;79
Chad;Sub-Saharan Africa;22;4355;7364;619;48478;579;807;41
Jordan;Middle East and Northern Africa;23;4395;9182;767;67000;755;705;-167
Myanmar;Southeastern Asia;24;4426;8541;779;59302;876;660;509
Palestinian Territories;Middle East and Northern Africa;25;4517;8485;826;62250;653;821;-163
Namibia;Sub-Saharan Africa;26;4574;9161;818;56799;719;847;-149
Lebanon;Middle East and Northern Africa;27;4584;9626;848;67355;525;898;-73
Tunisia;Middle East and Northern Africa;28;4596;9266;691;67201;656;870;-201
Kenya;Sub-Saharan Africa;29;4607;8361;688;60704;779;825;287
Liberia;Sub-Saharan Africa;30;4625;7288;720;56498;735;850;50
Uganda;Sub-Saharan Africa;31;4636;7677;781;56101;709;855;122
Iran;Middle East and Northern Africa;32;4721;9584;710;66300;608;714;218
Mali;Sub-Saharan Africa;33;4723;7744;724;51969;697;827;-36
Nigeria;Sub-Saharan Africa;34;4759;8533;740;50102;737;878;37
Mozambique;Sub-Saharan Africa;35;4794;7158;744;54706;882;684;61
