Country;Region;Rank;Score;GDP;Family;Health;Freedom;Generosity;Trust
Afghanistan;Southern Asia;137;1859;7324;341;54712;382;-81;847
Albania;Central and Eastern Europe;83;5277;9567;718;69150;794;-7;878
Algeria;Middle East and Northern Africa;81;5329;9300;855;66549;571;-117;717
Argentina;Latin America and Caribbean;52;6024;9959;891;67200;823;-89;814
Armenia;Central and Eastern Europe;79;5342;9615;790;67789;796;-155;705
Australia;Australia and New Zealand;12;7095;10821;934;71050;890;198;496
Austria;Western Europe;11;7097;10899;888;71150;855;102;497
Bahrain;Middle East and Northern Africa;42;6173;10776;844;65825;944;117;737
Bangladesh;Southern Asia;118;4282;8685;544;64548;845;5;698
Belgium;Western Europe;17;6859;10844;915;70899;825;1;549
Benin;Sub-Saharan Africa;116;4374;8103;437;56095;743;-43;576
Bolivia;Latin America and Caribbean;69;5684;8985;811;63599;868;-63;846
Bosnia and Herz.;Central and Eastern Europe;71;5633;9616;880;67275;746;206;918
Botswana;Sub-Saharan Africa;132;3435;9629;753;54725;742;-215;830
Brazil;Latin America and Caribbean;49;6125;9582;836;65749;801;-9;738
Bulgaria;Central and Eastern Europe;77;5466;10087;918;66500;801;-57;911
Burkina Faso;Sub-Saharan Africa;104;4638;7667;663;55461;696;95;771
Cambodia;Southeastern Asia;115;4393;8385;747;61900;958;73;857
Cameroon;Sub-Saharan Africa;96;4973;8217;686;55847;686;15;846
Canada;North America;13;6961;10773;929;71400;874;153;420
Chad;Sub-Saharan Africa;114;4397;7261;722;53125;677;221;807
Chile;Latin America and Caribbean;35;6334;10114;889;70300;792;-11;823
China;Eastern Asia;64;5818;9738;836;68689;882;-41;727
Colombia;Latin America and Caribbean;72;5630;9584;822;69350;804;-104;834
Comoros;Sub-Saharan Africa;130;3545;8075;471;59425;470;-14;727
Congo;Sub-Saharan Africa;86;5267;8095;605;56850;730;-4;739
Dem. Rep. Congo;Sub-Saharan Africa;133;3207;7007;652;55375;664;86;834
Costa Rica;Latin America and Caribbean;23;6609;9952;872;70000;895;-70;768
Croatia;Central and Eastern Europe;48;6125;10341;917;68950;757;-93;925
Cyprus;Western Europe;46;6130;10611;826;72802;724;-60;860
Czechia;Central and Eastern Europe;18;6845;10611;953;69050;903;40;859
Denmark;Western Europe;2;7586;10962;954;71250;934;134;196
Dominican Rep.;Latin America and Caribbean;73;5569;9811;827;64399;850;-99;657
Ecuador;Latin America and Caribbean;74;5559;9270;806;69000;802;-108;833
Egypt;Middle East and Northern Africa;121;4170;9367;726;63503;732;-183;580
El Salvador;Latin America and Caribbean;50;6122;9089;755;65597;918;-108;620
Estonia;Central and Eastern Europe;31;6455;10541;946;69650;929;32;409
Ethiopia;Sub-Saharan Africa;124;4091;7739;782;60698;720;273;789
Finland;Western Europe;1;7804;10792;969;71150;961;-19;182
France;Western Europe;21;6661;10701;909;72300;819;-100;553
Gabon;Sub-Saharan Africa;94;5035;9537;746;58252;642;-187;786
Gambia;Sub-Saharan Africa;119;4279;7648;584;57900;596;364;883
Georgia;Central and Eastern Europe;90;5109;9646;716;64950;786;-254;649
Germany;Western Europe;16;6892;10879;896;71300;846;30;420
Ghana;Sub-Saharan Africa;107;4605;8596;641;58763;777;139;881
Greece;Western Europe;58;5931;10288;835;71150;568;-240;793
Guatemala;Latin America and Caribbean;43;6150;9116;812;62900;856;-57;837
Guinea;Sub-Saharan Africa;91;5072;7880;649;54185;659;125;787
Honduras;Latin America and Caribbean;53;6023;8635;766;64063;843;97;843
Hong Kong;Eastern Asia;82;5308;10966;817;77280;687;-26;385
Hungary;Central and Eastern Europe;51;6041;10419;943;67500;758;-59;839
Iceland;Western Europe;3;7530;10896;983;72050;936;211;668
India;Southern Asia;126;4036;8759;608;60777;897;72;774
Indonesia;Southeastern Asia;84;5277;9385;804;63048;880;531;876
Iran;Middle East and Northern Africa;101;4876;9610;778;66600;593;173;747
Iraq;Middle East and Northern Africa;98;4941;9098;718;63415;646;-5;876
Ireland;Western Europe;14;6911;11527;905;71300;874;92;358
Israel;Middle East and Northern Africa;4;7473;10639;943;72697;809;-23;708
Italy;Western Europe;33;6405;10634;882;72050;711;-74;842
Côte d'Ivoire;Sub-Saharan Africa;93;5053;8576;572;55953;733;3;746
Jamaica;Latin America and Caribbean;68;5703;9165;867;66600;822;-106;875
Japan;Eastern Asia;47;6129;10616;894;74349;799;-237;640
Jordan;Middle East and Northern Africa;123;4120;9130;729;67600;770;-150;687
Kazakhstan;Central and Eastern Europe;44;6144;10166;931;65802;853;0;721
Kenya;Sub-Saharan Africa;111;4487;8458;690;58499;696;288;852
Kosovo;Central and Eastern Europe;34;6368;9359;844;65195;861;259;866
Kyrgyzstan;Central and Eastern Europe;62;5825;8486;911;66852;934;181;904
Laos;Southeastern Asia;89;5111;8962;679;60946;919;91;703
Latvia;Central and Eastern Europe;41;6213;10370;937;66400;818;-56;830
Lebanon;Middle East and Northern Africa;136;2392;9478;530;66149;474;-141;891
Liberia;Sub-Saharan Africa;125;4042;7277;596;56700;735;154;830
Lithuania;Central and Eastern Europe;20;6763;10568;939;67397;748;-145;805
