Country;Region;Rank;Score;GDP;Family;Health;Freedom;Trust;Generosity
Congo;Sub-Saharan Africa;77;5194399834;8536987305;640228093;5792448044;719058514;751779079;-123674095
Dem. Rep. Congo;Sub-Saharan Africa;1;431099987;6694256306;672159016;5290000153;700793564;809403598;83637655
Chad;Sub-Saharan Africa;40;4422699928;7467963696;632388055;4822053909;587305248;802760839;17834719
Gabon;Sub-Saharan Africa;57;4829299927;9680537224;787886858;5971533966;704829216;849150956;-222261623
Bulgaria;Central and Eastern Europe;69;5101500034;9869318962;937840343;6680397797;745178163;935585141;-143908441
Ghana;Sub-Saharan Africa;74;5147999763;8350645065;728601098;5720398712;794796526;847964764;94170853
Afghanistan;Southern Asia;15;2566900015;7462860584;470366955;5259000015;396573007;933686554;-964294
Maldives;Southern Asia;78;5197599888;9518632889;91316092;7059999847;853962779;824211061;38085498
Ivory Coast;Sub-Saharan Africa;79;5233300209;8225561142;658048689;4950377274;727909327;790771961;-43991156
Indonesia;SouthEastern Asia;80;5285600185;936975193;808379889;6215584946;870614409;876296401;519586504
Hong Kong;Eastern Asia;86;5510399818;109346714;845969081;7677170563;779833794;420607209;134979904
Kyrgyzstan;Central and Eastern Europe;89;5541500092;8148405075;887228489;6410601044;909374893;888396084;154772058
Bosnia and Herzegovina;Central and Eastern Europe;93;5674099922;9455817223;829204142;6780813599;651352704;933769107;98274559
Dominican Republic;Latin America and Caribbean;94;5689199924;9664880753;882085383;6580748749;866202772;755999923;-131263286
Japan;Eastern Asia;98;5870800018;1057968903;883545935;7500096893;809961379;654558063;-246910349
Latvia;Central and Eastern Europe;103;5949999809;1017531967;918288589;668074646;671237648;795580089;-186888844
Honduras;Latin America and Caribbean;104;5953199863;8424534798;821870148;6719876862;870603263;801131904;86969115
Hungary;Central and Eastern Europe;107;6000400066;1024924374;921934128;6760997009;718964577;892916501;-194323018
Mauritius;Sub-Saharan Africa;111;6101299763;9956786156;910357833;6640434265;889534533;805343091;-18318573
Kuwait;Middle East and Northern Africa;112;6102099895;1108982468;846475244;6676764679;872366488;760849059;-100184701
Lithuania;Central and Eastern Europe;117;6215499878;1034362602;926107109;6729407501;747381449;809583843;-219725296
Mexico;Latin America and Caribbean;131;6465000153;9797797203;838665426;6829902649;858709276;806821585;-175266623
Czechia;Central and Eastern Europe;136;6910900116;1040416336;914430678;7004793549;818537354;85844624;-230861515
United States of America;North America;137;6939599991;1092576885;914219022;6829949951;842619538;699715316;149891734
Germany;Western Europe;138;7075799942;107328186;898874462;7220201874;867371082;456422031;80179386
Israel;Middle East and Northern Africa;141;7128600121;1041752529;913571239;7320025635;747580588;78085506;10259372
